Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Personalized Internet Assessor - Telugu,TELUS International,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience in navigating web browsers and smartphone apps for content interaction,"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics",https://www.naukri.com/job-listings-personalized-internet-assessor-telugu-telus-international-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080424502306
Personalized Internet Assessor - (Tamil Language),TELUS International,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience in navigating web browsers and smartphone apps for content interaction,"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics",https://www.naukri.com/job-listings-personalized-internet-assessor-tamil-language-telus-international-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-080424502305
SAP SD and MM consultant,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in computer science, Computer Engineering, Information Technology or ...","Interpersonal skills, SAP SD, Analytical, sap fiori, Finance, Agile methodology, Management, Information technology",https://www.naukri.com/job-listings-sap-sd-and-mm-consultant-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-080424501772
IT Auditor,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Audit certification desirable (CISA or similar technical certification) . Extensive kno...,"Office automation, Manager Internal Audit, Cisa, ISO, Database administration, Application development, Information technology, Automotive",https://www.naukri.com/job-listings-it-auditor-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-5-years-080424501771
Software Analyst,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The candidate should be capable of working collaboratively as part of PD Prototype IT...,"Computer science, Maven, Core Java, github, Version control, Prototype, Production support, GCP",https://www.naukri.com/job-listings-software-analyst-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-080424501232
Technical Program Manager,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Requirements : . Graduate in Computer Science, Engineering, or related technical qualif...","Computer science, Access control, GCP, Eclipse, Analytical, Agile, Agile methodology, JIRA",https://www.naukri.com/job-listings-technical-program-manager-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-080424501219
Software Engineer,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Requirements : . Bachelors/ Masters degree in Business, Computer Science, or Engineerin...","Computer science, Performance tuning, Test scripts, RDBMS, Enterprise architecture, TDD, Test management, Agile",https://www.naukri.com/job-listings-software-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-080424501218
Project Lead,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Skills :     Python   Java/Springboot ,   Own and support GUX operational tasks   An ...","Incident management, E-commerce, Operations, Release management, Python, Management, Incident, Project",https://www.naukri.com/job-listings-project-lead-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-080424501217
CPS - Public Cloud Ops Engineer,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience with Docker containers and hosting them remotely . Hands-on experience with ...,"Backend, SAP, Linux, Production support, System integration, Troubleshooting, VMS, Monitoring",https://www.naukri.com/job-listings-cps-public-cloud-ops-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-080424501216
Medical Manager,Roche Diagnostics,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Ad Board preparation, HCP selection, slide deck & pre-reads support, speaker briefing, ...","Training, ESP, SOC, Shaping, Equity, Healthcare, Oncology, MOM",https://www.naukri.com/job-listings-medical-manager-roche-diagnostics-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-080424501205
Senior System Specification Engineer,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mandatory Experience between 9-14 years with BE / BTech/ME / MTech/MCA . Specification ...,"Product management, Software configuration management, Consulting, Firmware, Unit testing, RHEL, SCM, Continuous improvement",https://www.naukri.com/job-listings-senior-system-specification-engineer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-9-to-14-years-080424501192
Senior Software Infrastructure Architect,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Development experience in config management (Puppet, Ansible, Terraform etc) . Experien...","GIT, Linux, Networking, Postgresql, Debugging, Consulting, Application security, Troubleshooting",https://www.naukri.com/job-listings-senior-software-infrastructure-architect-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-080424501191
Senior Technical Specialist,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Preferred to have experience in SQL (MariaDB especially), Linux, Web technologiesRetain...","Unix, Design engineering, Linux, Consulting, SNMP, Resource management, WiFi, Operations",https://www.naukri.com/job-listings-senior-technical-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-10-years-080424500493
Internal Auditor,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Prepare and organize the audit work papers and files for the audit assignment according...,"Manager Internal Audit, Data analysis, Financial reporting, Consulting, Corporate finance, Risk management, MS Office, Operations",https://www.naukri.com/job-listings-internal-auditor-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-080424500492
Global Solutions Consultant,Hitachi Ltd.,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Build relevance and create preference for Hitachis technologies and solutions within th...,"VMware, Cloud computing, Automation, Linux, Equity, Windows, Oracle, Information technology",https://www.naukri.com/job-listings-global-solutions-consultant-hitachi-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-080424500346
Sr. Technical Project Manager,Mclaren Strategic Ventures India,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Assist in guiding cross-functional teams to develop, plan and execute assigned projec...","Business process, Project management, Network operations, Cloud, Project planning, Scrum, IT operations, New project implementation",https://www.naukri.com/job-listings-sr-technical-project-manager-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-15-to-17-years-080424500121
Ward Nurse,Fortis,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Pursue professional certifications and licensure renewal as required,"Nurse, Nursing",https://www.naukri.com/job-listings-ward-nurse-fortis-healthcare-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-050424502413
ICU Nurse,Fortis,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Fortis Healthcare Ltd is looking for ICU Nurse to join our dynamic team and embark on...,"ICU Nurse, Nursing, ICU",https://www.naukri.com/job-listings-icu-nurse-fortis-healthcare-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-050424502408
Product Marketing Intern,Bdfl Technologies,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. We are seeking a highly motivated and analytical Product Strategy Intern to join our ...,"Product management, Market analysis, Project management, Analytical, Market research, Competitive intelligence, Management, Internship",https://www.naukri.com/job-listings-product-marketing-intern-the-10x-academy-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-030424502362
Senior Salesforce DevOps Consultant,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",We seek a talented DevOps engineer to join a strong technology team responsible for t...,"metadata, Version control, Debugging, Agile, Troubleshooting, Open source, Ruby, Distribution system",https://www.naukri.com/job-listings-senior-salesforce-devops-consultant-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-6-to-11-years-090424500066
Mulesoft Technical / Senior Consultant,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",Degree or equivalent relevant experience requiredExperience will be evaluated based on ...,"ERP, SAP, Siebel, Architecture, Testing tools, Consulting, Oracle, Monitoring",https://www.naukri.com/job-listings-mulesoft-technical-senior-consultant-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-5-to-11-years-090424500023
Sap Fiori Consultant,Tata Consultancy Services (TCS),Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)","Join The Virtual Drive At TCS on 12th of April For Skill SAP FIORILocation:Pune, Mumbai...","Sapui5, Sap Fiori, Sap Hana, Consulting, SAP",https://www.naukri.com/job-listings-sap-fiori-consultant-tata-consultancy-services-tcs-pune-bengaluru-mumbai-all-areas-5-to-10-years-260324004620
Tcs Hiring For Angular - Pan India,Tata Consultancy Services (TCS),Not disclosed,"Pune, Bangalore/ Bengaluru, Mumbai (All Areas)","Required Skill Set: . Must Have: Angular 8+, JavaScript, Typescript, HTML, CSS, SASS, N...","Angular, CSS, Javascript, HTML, TCAE, Cs, Pan, Hiring",https://www.naukri.com/job-listings-tcs-hiring-for-angular-pan-india-tata-consultancy-services-tcs-pune-bangalore-bengaluru-mumbai-all-areas-4-to-9-years-201023007283
GN - Tech Strategy & Advisory - Transformation Office - Consultant,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Qualifications: Bachelors degreeMBA Degree from Tier-1 College (Preferable) Experience:...,"project management, analysis, stakeholder management, business architecture, architecture, value analysis, financial services, telecommunication",https://www.naukri.com/job-listings-gn-tech-strategy-advisory-transformation-office-consultant-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-7-to-12-years-100424903084
Security Architect,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Minimum 15 year(s) of experience is required. Educational Qualification : Bachelor or c...,"information technology, solution development, security framework, security solutions, architecture, event management, cloud security, information security",https://www.naukri.com/job-listings-security-architect-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-15-to-19-years-090424905976
Salesforce Developer/ Salesforce Architect,Deloitte,8-18 Lacs PA,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Ability to develop all project related documents like requirement document, system desi...","Salesforce Lightning, Salesforce Integration, Lightning Components, Lwc, Salesforce Sales Cloud, Heroku, Salesforce Community Cloud, E-commerce",https://www.naukri.com/job-listings-salesforce-developer-salesforce-architect-deloitte-india-pune-bengaluru-mumbai-all-areas-5-to-10-years-090424012265
Consulting Practice Manager,Oracle,Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)",Good Problem solving skills Should have thorough Domain knowledge in FCUBS (Or Equivale...,"Core Banking, Flexcube, Stakeholder Management, Consulting, Management, Core",https://www.naukri.com/job-listings-consulting-practice-manager-oracle-pune-bengaluru-mumbai-all-areas-10-to-18-years-090424007672
Solution Enablement Practitioner,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Minimum 5 year(s) of experience is required. Educational Qualification : A Master or Ba...,"integration architecture, project / program management, sdlc, architecture, sdlc process, project management, solutioning, program management",https://www.naukri.com/job-listings-solution-enablement-practitioner-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-5-to-7-years-080424909568
Workplace Service Delivery Analyst  - CRM_ Space Management,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Qualification Job Qualifications Skills and Experience: Graduate or equivalentDocument ...,"excel, written communication, negotiation, writing, communication skills, operations management, back office operations, customer service",https://www.naukri.com/job-listings-workplace-service-delivery-analyst-crm-space-management-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-3-to-5-years-080424903232
Tcs Is Hiring For SQL Server 2012 Development,Tata Consultancy Services (TCS),Not disclosed,"Pune, Bangalore Rural, Mumbai (All Areas)",experience with the SQL language (4 to 6 years writing SQL for Oracle including functio...,"SQL Server2012, ssis, sql, Hiring, Serv, Server, TCAE, Development",https://www.naukri.com/job-listings-tcs-is-hiring-for-sql-server-2012-development-tata-consultancy-services-tcs-pune-bangalore-rural-mumbai-all-areas-4-to-6-years-080424002185
"Tcs IS Hiring-.NET Full stack Developer-7-10YRS-PUNE,Mumbai,Chennai",Tata Consultancy Services (TCS),Not disclosed,"Pune, Chennai, Mumbai (All Areas)",EXPERIENCE -7-10YRS. Hands on experience in maintaining products on Cloud Technologies ...,"Asp.Net Core, Net Fullstack, MVC, Angular, .NET CORE, Stack, TCAE, Full Stack",https://www.naukri.com/job-listings-tcs-is-hiring-net-full-stack-developer-7-10yrs-pune-mumbai-chennai-tata-consultancy-services-tcs-pune-chennai-mumbai-all-areas-7-to-10-years-090424000046
Oracle Fusion SCM Functional Lead,Oracle,18-33 Lacs PA (Including Variable: 15.0%),"Hybrid - Kolkata, Mumbai, Maharashtra, Gandhinagar, Gujarat, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, Oracle, Cloud, Fusion, Functional, SCM, Oracle Fusion SCM",https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-maharashtra-gandhinagar-gujarat-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-8-to-13-years-270723006137
Data Modeler,Photon,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Required Skill Set: . Hadoop . Hive .,"hive, metadata, Translation, Data modeling, spark, Hadoop, Banking, SSIS",https://www.naukri.com/job-listings-data-modeler-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-090424501867
Senior Manager Human Resources,Fortis,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Fortis Healthcare Ltd is looking for Senior Manager Human Resources to join our dynam...,"HR, Hrsd, Resource, Senior, Human resource management, Management",https://www.naukri.com/job-listings-senior-manager-human-resources-fortis-healthcare-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-9-years-050424502402
HR Specialist - Grid Integration INOPC,Hitachi Energy,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Ensure people and organizational capabilities required in the mid-long term are underst...,"Procurement, Business administration, Stakeholder Engagement, CSS, Project management, hrbp, HR, Business strategy",https://www.naukri.com/job-listings-hr-specialist-grid-integration-inopc-hitachi-energy-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-050424500244
Specialist Technical Support,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Uses functionally specific knowledge.Typically 3-5 years directly related experience an...,"Service level, Network design, Linux, Customer relationship, core network, Customer service, Continuous improvement, Operations",https://www.naukri.com/job-listings-specialist-technical-support-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-040424501256
Software Developer,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Basic knowledge of Power BI or other similar BI tools . Understanding data and analytic...,"Cloud, Manager Technology, Technology leadership, Business management, power bi, Agile methodology, Object oriented programming, Analytics",https://www.naukri.com/job-listings-software-developer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-040424501255
Senior Specialist Technical Support,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Typically requires 4-6 years relevant experience and / or a graduate equivalent (or hig...,"Service level, Network design, Linux, Customer relationship, core network, Customer service, Continuous improvement, Operations",https://www.naukri.com/job-listings-senior-specialist-technical-support-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-040424501254
Senior Payroll Specialist,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Timely accurate Payroll , Exit Reimbursement Process for International Payroll   Cou...","Process audit, US GAAP, Payroll Compliance, Accounting, MIS, Finance, Reconciliation, Taxation",https://www.naukri.com/job-listings-senior-payroll-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-10-years-040424501253
Senior Data Engineer,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Typically requies 5-8 years extensive relevant experience and / or a graduate / postgra...,"Software design, Production support, Coding, Concept development, Agile, Business solutions, Information technology, Remote support",https://www.naukri.com/job-listings-senior-data-engineer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-040424501252
Change Manager,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",ITIL V4 foundation /intermediate certification .  Good understanding of complex IT envi...,"Change management, Compliance, ITIL process, IT management, ITIL, Change Coordinator, Service quality, Process management",https://www.naukri.com/job-listings-change-manager-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-040424501251
Finance Technology Manager,Coursera,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","While supporting an ever-growing number of users with top-tier tools and applications, ...","Computer science, ERP, Automation, Analytical, data integrity, Troubleshooting, Continuous improvement, Information technology",https://www.naukri.com/job-listings-finance-technology-manager-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-7-years-040424500320
Finance Systems Analyst & QA,Coursera,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","While supporting an ever-growing number of users with top-tier tools and applications, ...","Computer science, E-learning, ERP, Data analysis, Change management, Data migration, Information technology, SQL",https://www.naukri.com/job-listings-finance-systems-analyst-qa-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-040424500319
Finance System Developer - Netsuite,Coursera,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","While supporting an ever-growing number of users with top-tier tools and applications, ...","Computer science, Data migration, XML, JSON, Agile methodology, Troubleshooting, Middleware, Salesforce",https://www.naukri.com/job-listings-finance-system-developer-netsuite-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-040424500318
Senior Engineer / Technical Lead,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Proficiency in Unix / Linux environments is preferredRequired Skills: . The candidate s...,"Unix, C++, Hibernate, Core Java, Linux, Agile, Data structures, Oracle",https://www.naukri.com/job-listings-senior-engineer-technical-lead-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-7-to-10-years-030424502096
Site Reliability Engineer,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Be flexible to lead both shift operations during AP timezone. Four-year college degree ...,"Automation, Disaster recovery, Agile, Incident management, Pega, IT operations, Monitoring, SQL",https://www.naukri.com/job-listings-site-reliability-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-3-years-030424500777
Senior Software Engineer,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Prior experience implementing MDM Solutions with Informatica is requiredPrior experienc...,"Data analysis, Data migration, Data management, Integration testing, Data structures, Data quality, Informatica, Unit testing",https://www.naukri.com/job-listings-senior-software-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-030424500776
Senior Software Engineer,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bachelor of Science in Computer Science Create and maintain transactional master data f...,"Procurement, variant configuration, SAP, Costing, Project management, Analytical, Integration testing, Scheduling",https://www.naukri.com/job-listings-senior-software-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-030424500775
Data Science Lead,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s Degree in related field (e.gData Science, Predictive Analytics, Statistics, ...","Product engineering, Simulation, Image processing, Analytical, Consulting, Technical leadership, Automotive, Monitoring",https://www.naukri.com/job-listings-data-science-lead-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-6-years-030424500770
Senior Frontend Software Engineer,Coursera,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",You must be comfortable working in a fast-moving team environment (we deploy many times...,"Computer science, LMS, HRIS, Web development, Javascript, HTML, HR, Product design",https://www.naukri.com/job-listings-senior-frontend-software-engineer-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-6-years-030424500087
Mulesoft Technical Architect,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru","Experience leading technical teams and mentoring junior level resources, consultants, a...","ERP, SAP, Siebel, Consulting, TIBCO, Performance testing, Oracle, SDLC",https://www.naukri.com/job-listings-mulesoft-technical-architect-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-12-to-20-years-050424502731
Manager - Salesforce Technical Consulting,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru","Salesforce Industries goal is to deliver rapid, value-driven customer solutions for ...","Production support, UML, XML, Project management, Javascript, Flex, Presales, J2Ee",https://www.naukri.com/job-listings-manager-salesforce-technical-consulting-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-10-to-20-years-050424502377
Technical Architect,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",The solutions you design are built for the long-term and will scale with the customers ...,"Environment management, System architecture, Data migration, Coding, Presales, SAML, SSL, Release management",https://www.naukri.com/job-listings-technical-architect-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-9-to-14-years-030424501199
